rank,stadium,capacity,region,country,city,images,home_team
119,Estádio José do Rego Maciel,"60,044",South America,Brazil,"Recife, Pernambuco",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Arruda_em_novembro_de_2013.JPG/220px-Arruda_em_novembro_de_2013.JPG,Santa Cruz FC
120,Al-Bayt Stadium,"60,000",West Asia,Qatar,Al-Khor,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Al_Bayt_Stadium_architecture.jpg/220px-Al_Bayt_Stadium_architecture.jpg,
121,Benjamin Mkapa National Stadium,"60,000",Africa,Tanzania,Dar es-Salaam,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Tanzania_National_Main_Stadium_Aerial.jpg/220px-Tanzania_National_Main_Stadium_Aerial.jpg,"Tanzania national football team, Young Africans"
122,Hefei Olympic Sports Centre Stadium,"60,000",East Asia,China,"Hefei, Anhui",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Hefei_Olympic_Sports_Center_Stadium.jpg/220px-Hefei_Olympic_Sports_Center_Stadium.jpg,Anhui Jiufang
123,Jaber al-Ahmad International Stadium,"60,000",West Asia,Kuwait,Kuwait City,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/Jaber_Al-Ahmad_International_Stadium_2019_local.png/220px-Jaber_Al-Ahmad_International_Stadium_2019_local.png,Kuwait national football team
124,Hammadi Agrebi Stadium,"60,000",Africa,Tunisia,Tunis,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Mozambique-Tunisia_match_2009.jpg/220px-Mozambique-Tunisia_match_2009.jpg,Tunisia national football team
125,Jawaharlal Nehru Stadium,"60,000",South Asia,India,New Delhi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Jawaharlal_Nehru_Stadium%2C_New_Delhi.png/220px-Jawaharlal_Nehru_Stadium%2C_New_Delhi.png,
126,Estádio da Machava,"60,000",Africa,Mozambique,Maputo,NO IMAGE,Mozambique national football team
127,Mogadishu Stadium,"60,000",Africa,Somalia,Mogadishu,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Mogadishustadium.jpg/220px-Mogadishustadium.jpg,Somalia national football team
128,National Heroes Stadium,"60,000",Africa,Zambia,Lusaka,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Inauguration_of_Edgar_Lungu.jpg/220px-Inauguration_of_Edgar_Lungu.jpg,Zambian national football team
129,Odi Stadium,"60,000",Africa,South Africa,"Mabopane, Gauteng",NO IMAGE,
